object.id,scat.id,collected.by,collect.id,year,month,day,season,GPS_LAT,GPS_LONG,collect.site,ecological.type.primary,human.site.primary,anth.food.present,anth.amount,anth.food.source,em.pres,ech.qpcr,em.qpcr,ech.cp,em.cp,pathogen.load,qc,Apples,Anthro,Birdseed,UnkSeed,NatPrey,Veg,Garbage,Berries,SageAnthro,SageAnthro2
SC_176,SC176,SS,20200418.15,2020,4,18,spring,53.44895241,-113.5512618,may common garden,Developed,Walking path,1,1,community garden ,0,NEG,NEG,NA,NA,absent,19.51,NoApples,NoAnthro,NoBirdseed,NoUnkSeed,NatPrey,NoVeg,NoGarbage,Berries,No,No
SC_261,SC261,DS,20200417.18,2020,4,17,spring,53.53068746,-113.4787943,Mutart camera site 2,Forest,Walking path,0,0,NA,1,POS,POS,31.75,34.11,low,22.01,NoApples,NoAnthro,NoBirdseed,NoUnkSeed,NatPrey,NoVeg,NoGarbage,Berries,No,No
SC_062,SC62,DS,20190331.13,2019,3,31,spring,53.49588508,-113.5425332,University Farm,Naturalized,Walking path,0,0,NA,1,POS,POS,39.99,36.97,low,NA,NoApples,NoAnthro,NoBirdseed,NoUnkSeed,NatPrey,NoVeg,NoGarbage,Berries,No,No
SC_084,SC84,CCSC,20190516.16,2019,5,16,spring,NA,NA,Epcor,Forest,Walking path,,,,1,POS,POS,39.99,33.85,low,NA,NoApples,NoAnthro,NoBirdseed,NoUnkSeed,NatPrey,NoVeg,NoGarbage,Berries,No,No
SC_125,SC125,DS,20200203.11,2020,2,3,winter,53.44381943,-113.5012865,Bearspaw dog park,Maintained,Dog park,1,1,bird feeders,0,NEG,NEG,NA,NA,absent,19.08,NoApples,NoAnthro,NoBirdseed,NoUnkSeed,NatPrey,NoVeg,NoGarbage,NoBerries,No,No
SC_233,SC233,DS,20200226.13,2020,2,26,winter,53.44381943,-113.5012865,Bearspaw dog park,Maintained,Dog park,1,1,bird feeders,0,NEG,NEG,NA,NA,absent,20.87,NoApples,NoAnthro,NoBirdseed,NoUnkSeed,NatPrey,NoVeg,NoGarbage,NoBerries,No,No
SC_249,SC249,DS,20200226.13,2020,2,26,winter,53.44381943,-113.5012865,Bearspaw residential,Developed,Residential,1,1,birdfeeders,0,NEG,NEG,NA,NA,absent,23.03,NoApples,NoAnthro,NoBirdseed,NoUnkSeed,NatPrey,NoVeg,NoGarbage,NoBerries,No,No
SC_016,SC16,DS,20190319.15,2019,3,19,winter,53.50999505,-113.5632142,Laurier Drive,Developed,Residential,1,2,Feeding occurs here,0,NEG,NEG,NA,NA,absent,NA,NoApples,NoAnthro,NoBirdseed,NoUnkSeed,NatPrey,NoVeg,NoGarbage,NoBerries,No,No
SC_119,SC119,DS,20200103.15,2020,1,3,winter,53.52108713,-113.5031434,strathcona garden,Compost,Compost,1,2,"large, uncontained compost",0,NEG,NEG,NA,NA,absent,24.51,NoApples,NoAnthro,NoBirdseed,NoUnkSeed,NatPrey,NoVeg,NoGarbage,NoBerries,No,No
SC_109,SC109,DS,20200103.12,2020,1,3,winter,53.51865633,-113.5399031,Hawrelak dog park,Forest,Dog park,0,0,NA,0,NEG,NEG,NA,NA,absent,24.33,NoApples,NoAnthro,NoBirdseed,NoUnkSeed,NatPrey,NoVeg,NoGarbage,NoBerries,No,No
SC_135,SC135,DS,20200101.13,2020,1,1,winter,53.44154145,-113.5602891,terwillegar dog park,Naturalized,Dog park,0,0,NA,0,NEG,NEG,NA,NA,absent,24.71,NoApples,NoAnthro,NoBirdseed,NoUnkSeed,NatPrey,NoVeg,NoGarbage,NoBerries,No,No
SC_014,SC14,CH,20190319.17,2019,3,19,winter,53.55820648,-113.4560358,Kinnard,Forest,Walking path,0,0,NA,0,NEG,NEG,NA,NA,absent,NA,NoApples,NoAnthro,NoBirdseed,NoUnkSeed,NatPrey,NoVeg,NoGarbage,NoBerries,No,No
SC_144,SC144,CCSC,20200228.15,2020,2,28,winter,53.48625807,-113.5567811,Rainbow Valley Bridge,Forest,Walking path,0,0,NA,0,NEG,NEG,NA,NA,absent,22.97,NoApples,NoAnthro,NoBirdseed,NoUnkSeed,NatPrey,NoVeg,NoGarbage,NoBerries,No,No
SC_145,SC145,CCSC,20200228.15,2020,2,28,winter,53.48625807,-113.5567811,Rainbow Valley Bridge,Forest,Walking path,0,0,NA,0,NEG,NEG,NA,NA,absent,23.49,NoApples,NoAnthro,NoBirdseed,NoUnkSeed,NatPrey,NoVeg,NoGarbage,NoBerries,No,No
SC_147,SC147,N,20200219,2020,2,19,winter,53.53319955,-113.5472317,mayfair golf course,Maintained,Golf course,0,0,NA,0,NEG,NEG,NA,NA,absent,26.04,NoApples,NoAnthro,NoBirdseed,NoUnkSeed,NatPrey,NoVeg,NoGarbage,NoBerries,No,No
